lat,lon
39.973091996,-75.2340134374
39.9520504434,-75.2226818142
39.9777973395,-75.2323728701
39.9636177561,-75.2017529811
39.9528960209,-75.2090698499
39.9801528554,-75.2069992068
39.9560896413,-75.225718796
39.9491907049,-75.2060933048
39.959334209,-75.2083569614
39.9639132138,-75.2026598706
39.9522602865,-75.213001074
39.9616359493,-75.2204735923
39.9647188046,-75.2168028937
39.9807132055,-75.2086163607
39.9804488868,-75.2110059602
39.9765163163,-75.218128298
39.9523599074,-75.2076233851
39.9511181895,-75.2179005926
39.9797016421,-75.216727208
39.9684350501,-75.2299305748
39.9590052628,-75.2348281167
39.9728344685,-75.213430092
39.9502018115,-75.2304663691
39.9546266417,-75.2331980367
39.9702848473,-75.2154954629
39.9498205875,-75.2193780912
39.9536050612,-75.2309766732
39.9795389761,-75.2071632074
39.9739505141,-75.2253650597
39.9779527261,-75.2044666308
39.9728928971,-75.21864323
39.9566577557,-75.2062009444
39.971710289,-75.2293663752
39.97084024,-75.2251736293
39.9586881729,-75.2194098903
39.9742754515,-75.2157968777
39.9613840127,-75.2080345129
39.9749762485,-75.2055730456
39.976538375,-75.2113311964
39.9609746189,-75.2249216182
39.9774843535,-75.2318847412
39.9537661255,-75.2074228553
39.9713343363,-75.2057467864
39.9705144468,-75.2099704738
39.9769685109,-75.2344299893
39.9501023014,-75.2115141536
39.946324083,-75.2209319067
39.9688826639,-75.2340178384
39.9483046487,-75.2048251174
39.965402272,-75.2070456786
39.9668405172,-75.2335218157
39.9599162298,-75.2349625371
39.9549548053,-75.2351690073
39.9676441305,-75.2231392758
39.9587458466,-75.2119940798
39.9781947495,-75.2095249311
39.9773073353,-75.2265005174
39.972405625,-75.2237687462
39.9671541157,-75.2278149612
39.9803874118,-75.2341130714
39.9585805219,-75.2214444361
39.9714506774,-75.2051355866
39.9555516207,-75.2243343539
39.946167527,-75.2328742883
39.9500871064,-75.2189414459
39.9608244973,-75.2327142326
39.970654062,-75.2235045934
39.9623597531,-75.2214746152
39.9771057124,-75.2140665801
39.9562651879,-75.2032788499
39.9807774182,-75.2264275053
39.966362645,-75.2345482244
39.9715074596,-75.2149697073
39.9793142566,-75.2257442036
39.9653703001,-75.2262444226
39.969123287,-75.2105201971
39.9663154187,-75.2335022325
39.9699380082,-75.2073389134
39.9644978729,-75.204979968
39.9499872866,-75.2234927813
39.9702423838,-75.2246680428
39.947001066,-75.2179439549
39.95801571,-75.2156366971
39.9648349672,-75.2056037371
39.9520222444,-75.208160616
39.9644453387,-75.2210005636
39.950969328,-75.2125086903
39.9696690991,-75.2093500431
39.9655562949,-75.2218511443
39.9501049652,-75.2142174287
39.9653215563,-75.2036492581
39.9668034202,-75.2218541383
39.9580950771,-75.2311145133
39.9545444667,-75.2265409561
39.95017932,-75.2259697076
39.9640772361,-75.2250777311
39.9721436529,-75.2172522774
39.9756217572,-75.2349031805
39.9590908024,-75.2039228514
39.9587819573,-75.219477289
